Decision,RelativePath,SizeBytes,Status
optional,"back.wav",192340,deleted
optional,"click.wav",188592,deleted
optional,"hover.wav",206326,deleted
optional,"bgm/ethereal/Ethereal Music Pack/Cloud Cathedral (RT 5.625)/Ethereal Cloud Cathedral Cut 30.wav",10260080,deleted
optional,"bgm/ethereal/Ethereal Music Pack/Cloud Cathedral (RT 5.625)/Ethereal Cloud Cathedral Cut 60.wav",18900080,deleted
optional,"bgm/ethereal/Ethereal Music Pack/Cloud Cathedral (RT 5.625)/Ethereal Cloud Cathedral Intensity 1.wav",27540080,deleted
optional,"bgm/ethereal/Ethereal Music Pack/Cloud Cathedral (RT 5.625)/Ethereal Cloud Cathedral Intensity 2.wav",27540080,deleted
optional,"bgm/ethereal/Ethereal Music Pack/Cloud Cathedral (RT 5.625)/Ethereal Cloud Cathedral Main.wav",27540080,deleted
optional,"bgm/ethereal/Ethereal Music Pack/Enigmatic Badger (RT 7.2)/Ethereal Enigmatic Badger Cut 30.wav",10368080,deleted
optional,"bgm/ethereal/Ethereal Music Pack/Enigmatic Badger (RT 7.2)/Ethereal Enigmatic Badger Cut 60.wav",18662480,deleted
optional,"bgm/ethereal/Ethereal Music Pack/Enigmatic Badger (RT 7.2)/Ethereal Enigmatic Badger Intensity 1.wav",26956880,deleted
optional,"bgm/ethereal/Ethereal Music Pack/Enigmatic Badger (RT 7.2)/Ethereal Enigmatic Badger Intensity 2.wav",26956880,deleted
optional,"bgm/ethereal/Ethereal Music Pack/Enigmatic Badger (RT 7.2)/Ethereal Enigmatic Badger Main.wav",26956880,deleted
optional,"bgm/ethereal/Ethereal Music Pack/Epiphone (RT 4)/Ethereal Epiphone Cut 30.wav",10368080,deleted
optional,"bgm/ethereal/Ethereal Music Pack/Epiphone (RT 4)/Ethereal Epiphone Cut 60.wav",19584080,deleted
optional,"bgm/ethereal/Ethereal Music Pack/Epiphone (RT 4)/Ethereal Epiphone Intensity 1.wav",28800080,deleted
optional,"bgm/ethereal/Ethereal Music Pack/Epiphone (RT 4)/Ethereal Epiphone Intensity 2.wav",28800080,deleted
optional,"bgm/ethereal/Ethereal Music Pack/Epiphone (RT 4)/Ethereal Epiphone Main.wav",28800080,deleted
optional,"bgm/ethereal/Ethereal Music Pack/Ether (RT 3.556)/Ethereal Ether Cut 30.wav",10752080,deleted
optional,"bgm/ethereal/Ethereal Music Pack/Ether (RT 3.556)/Ethereal Ether Cut 60.wav",19968080,deleted
optional,"bgm/ethereal/Ethereal Music Pack/Ether (RT 3.556)/Ethereal Ether Intensity 1.wav",26112080,deleted
optional,"bgm/ethereal/Ethereal Music Pack/Ether (RT 3.556)/Ethereal Ether Intensity 2.wav",26112080,deleted
optional,"bgm/ethereal/Ethereal Music Pack/Ether (RT 3.556)/Ethereal Ether Main.wav",26112080,deleted
optional,"bgm/ethereal/Ethereal Music Pack/Golden Clouds (RT 3.692)/Ethereal Golden Clouds Cut 30.wav",9570542,deleted
optional,"bgm/ethereal/Ethereal Music Pack/Golden Clouds (RT 3.692)/Ethereal Golden Clouds Cut 60.wav",18077624,deleted
optional,"bgm/ethereal/Ethereal Music Pack/Golden Clouds (RT 3.692)/Ethereal Golden Clouds Intensity 1.wav",26584700,deleted
optional,"bgm/ethereal/Ethereal Music Pack/Golden Clouds (RT 3.692)/Ethereal Golden Clouds Intensity 2.wav",26584700,deleted
optional,"bgm/ethereal/Ethereal Music Pack/Golden Clouds (RT 3.692)/Ethereal Golden Clouds Main.wav",26584700,deleted
optional,"bgm/ethereal/Ethereal Music Pack/Heartbeat (RT 3.2)/Ethereal Heartbeat Cut 30.wav",8294480,deleted
optional,"bgm/ethereal/Ethereal Music Pack/Heartbeat (RT 3.2)/Ethereal Heartbeat Cut 60.wav",19353680,deleted
optional,"bgm/ethereal/Ethereal Music Pack/Heartbeat (RT 3.2)/Ethereal Heartbeat Intensity 1.wav",27648080,deleted
optional,"bgm/ethereal/Ethereal Music Pack/Heartbeat (RT 3.2)/Ethereal Heartbeat Intensity 2.wav",27648080,deleted
optional,"bgm/ethereal/Ethereal Music Pack/Heartbeat (RT 3.2)/Ethereal Heartbeat Main.wav",27648080,deleted
optional,"bgm/ethereal/Ethereal Music Pack/Luminesce (RT 4.091)/Ethereal Luminesce Cut 30.wav",10603718,deleted
optional,"bgm/ethereal/Ethereal Music Pack/Luminesce (RT 4.091)/Ethereal Luminesce Cut 60.wav",20029178,deleted
optional,"bgm/ethereal/Ethereal Music Pack/Luminesce (RT 4.091)/Ethereal Luminesce Intensity 1.wav",26312816,deleted
optional,"bgm/ethereal/Ethereal Music Pack/Luminesce (RT 4.091)/Ethereal Luminesce Intensity 2.wav",26312816,deleted
optional,"bgm/ethereal/Ethereal Music Pack/Luminesce (RT 4.091)/Ethereal Luminesce Main.wav",26312810,deleted
optional,"bgm/ethereal/Ethereal Music Pack/Poison Meadow (RT 2)/Ethereal Poison Meadow Cut 30.wav",9792080,deleted
optional,"bgm/ethereal/Ethereal Music Pack/Poison Meadow (RT 2)/Ethereal Poison Meadow Cut 60.wav",19008080,deleted
optional,"bgm/ethereal/Ethereal Music Pack/Poison Meadow (RT 2)/Ethereal Poison Meadow Intensity 1.wav",28224080,deleted
optional,"bgm/ethereal/Ethereal Music Pack/Poison Meadow (RT 2)/Ethereal Poison Meadow Intensity 2.wav",28224080,deleted
optional,"bgm/ethereal/Ethereal Music Pack/Poison Meadow (RT 2)/Ethereal Poison Meadow Main.wav",28224080,deleted
