rule_object,round,source_index,source_path,source_size,runtime_file,runtime_key,status
白筹码 1 星,Round 1 / Pre-Flop,48,D:\gongzuo\webgame\gameasset\纸牌帮 The Gang\Mods\Images\httpssteamusercontentaakamaihdnetugc121536444833636127512CF600F7EA9513F1E8646DEFD0038B2017D77B23.png,500x500,public/assets/i18n/zh-CN/the-gang/chips/round-1-white-1.png,the-gang/chips/round-1-white-1,locked-copied-needs-compression
白筹码 2 星,Round 1 / Pre-Flop,46,D:\gongzuo\webgame\gameasset\纸牌帮 The Gang\Mods\Images\httpssteamusercontentaakamaihdnetugc12104976791784665035E1D7758E9A0F9A0F4CE70B8719EC1709F4B4361F.png,500x500,public/assets/i18n/zh-CN/the-gang/chips/round-1-white-2.png,the-gang/chips/round-1-white-2,locked-copied-needs-compression
白筹码 3 星,Round 1 / Pre-Flop,15,D:\gongzuo\webgame\gameasset\纸牌帮 The Gang\Mods\Images\httpssteamusercontentaakamaihdnetugc106652262508299861073782110CA412AB99C4D2B1D648A2AF36B5A781B1.png,500x500,public/assets/i18n/zh-CN/the-gang/chips/round-1-white-3.png,the-gang/chips/round-1-white-3,locked-copied-needs-compression
白筹码 4 星,Round 1 / Pre-Flop,24,D:\gongzuo\webgame\gameasset\纸牌帮 The Gang\Mods\Images\httpssteamusercontentaakamaihdnetugc11078717860909085314A4A363EB576F78CCF5EC357F61541FD1814828A3.png,500x500,public/assets/i18n/zh-CN/the-gang/chips/round-1-white-4.png,the-gang/chips/round-1-white-4,locked-copied-needs-compression
白筹码 5 星,Round 1 / Pre-Flop,149,D:\gongzuo\webgame\gameasset\纸牌帮 The Gang\Mods\Images\httpssteamusercontentaakamaihdnetugc184408611743592467021023266401CFBE1E2A7807E0F93B0B2930635385.png,500x500,public/assets/i18n/zh-CN/the-gang/chips/round-1-white-5.png,the-gang/chips/round-1-white-5,locked-copied-needs-compression
白筹码 6 星,Round 1 / Pre-Flop,72,D:\gongzuo\webgame\gameasset\纸牌帮 The Gang\Mods\Images\httpssteamusercontentaakamaihdnetugc1383289909648009793139549CEA71105DD8C481CEEA2DA583F2BCAF127A.png,500x500,public/assets/i18n/zh-CN/the-gang/chips/round-1-white-6.png,the-gang/chips/round-1-white-6,locked-copied-needs-compression
黄筹码 1 星,Round 2 / Flop,3,D:\gongzuo\webgame\gameasset\纸牌帮 The Gang\Mods\Images\httpssteamusercontentaakamaihdnetugc10152143283639704807DCDC6DA11F563476FF9881188AA635B6CF4AB183.png,500x500,public/assets/i18n/zh-CN/the-gang/chips/round-2-yellow-1.png,the-gang/chips/round-2-yellow-1,runtime-wired-compressed-manifested
黄筹码 2 星,Round 2 / Flop,19,D:\gongzuo\webgame\gameasset\纸牌帮 The Gang\Mods\Images\httpssteamusercontentaakamaihdnetugc11987405096524596318574FB816D62B89EB7C1B0114ED0F4375322FBC79.png,500x500,public/assets/i18n/zh-CN/the-gang/chips/round-2-yellow-2.png,the-gang/chips/round-2-yellow-2,runtime-wired-compressed-manifested
黄筹码 3 星,Round 2 / Flop,80,D:\gongzuo\webgame\gameasset\纸牌帮 The Gang\Mods\Images\httpssteamusercontentaakamaihdnetugc14249560630513869147FAC0BFCE71AA3CF7C7B7AE53AD87DE0C01E79510.png,500x500,public/assets/i18n/zh-CN/the-gang/chips/round-2-yellow-3.png,the-gang/chips/round-2-yellow-3,locked-copied-needs-compression
黄筹码 4 星,Round 2 / Flop,83,D:\gongzuo\webgame\gameasset\纸牌帮 The Gang\Mods\Images\httpssteamusercontentaakamaihdnetugc14393830319064649105B79E580DFF4350446AF24424BAE9203C9BF7F829.png,500x500,public/assets/i18n/zh-CN/the-gang/chips/round-2-yellow-4.png,the-gang/chips/round-2-yellow-4,locked-copied-needs-compression
黄筹码 5 星,Round 2 / Flop,18,D:\gongzuo\webgame\gameasset\纸牌帮 The Gang\Mods\Images\httpssteamusercontentaakamaihdnetugc10786799574894239096F0E97861996C226E63D18A7A7D4D2CAFE7F97304.png,500x500,public/assets/i18n/zh-CN/the-gang/chips/round-2-yellow-5.png,the-gang/chips/round-2-yellow-5,locked-copied-needs-compression
黄筹码 6 星,Round 2 / Flop,126,D:\gongzuo\webgame\gameasset\纸牌帮 The Gang\Mods\Images\httpssteamusercontentaakamaihdnetugc17373869624735383543C4EA49012E5F5AE3F02CDACF2A305D153132DE8F.png,500x500,public/assets/i18n/zh-CN/the-gang/chips/round-2-yellow-6.png,the-gang/chips/round-2-yellow-6,locked-copied-needs-compression
橙筹码 1 星,Round 3 / Turn,33,D:\gongzuo\webgame\gameasset\纸牌帮 The Gang\Mods\Images\httpssteamusercontentaakamaihdnetugc13724611946288219880AB9D1036F1B72901A1AE83C5B45B7C0BC1ACC74E.png,500x500,public/assets/i18n/zh-CN/the-gang/chips/round-3-orange-1.png,the-gang/chips/round-3-orange-1,runtime-wired-compressed-manifested
橙筹码 2 星,Round 3 / Turn,29,D:\gongzuo\webgame\gameasset\纸牌帮 The Gang\Mods\Images\httpssteamusercontentaakamaihdnetugc1318163399045773701261342053BF368F8B7C120B29506B10DABF88FB5C.png,500x500,public/assets/i18n/zh-CN/the-gang/chips/round-3-orange-2.png,the-gang/chips/round-3-orange-2,runtime-wired-compressed-manifested
橙筹码 3 星,Round 3 / Turn,20,D:\gongzuo\webgame\gameasset\纸牌帮 The Gang\Mods\Images\httpssteamusercontentaakamaihdnetugc10961633839351505851FBBD27FEC487317E9DFBA64D06C659CB5A089038.png,500x500,public/assets/i18n/zh-CN/the-gang/chips/round-3-orange-3.png,the-gang/chips/round-3-orange-3,locked-copied-needs-compression
橙筹码 4 星,Round 3 / Turn,32,D:\gongzuo\webgame\gameasset\纸牌帮 The Gang\Mods\Images\httpssteamusercontentaakamaihdnetugc11221934380700718071461F4808A2345175BEA985BF5C450D36E094FE52.png,500x500,public/assets/i18n/zh-CN/the-gang/chips/round-3-orange-4.png,the-gang/chips/round-3-orange-4,locked-copied-needs-compression
橙筹码 5 星,Round 3 / Turn,22,D:\gongzuo\webgame\gameasset\纸牌帮 The Gang\Mods\Images\httpssteamusercontentaakamaihdnetugc11017374334604962960E944BF513C9FF386F32316ED71CA65AA93F24DB5.png,500x500,public/assets/i18n/zh-CN/the-gang/chips/round-3-orange-5.png,the-gang/chips/round-3-orange-5,locked-copied-needs-compression
橙筹码 6 星,Round 3 / Turn,111,D:\gongzuo\webgame\gameasset\纸牌帮 The Gang\Mods\Images\httpssteamusercontentaakamaihdnetugc16542727920229874065F0A22452290E9B61D53D5A2D4490E29CB8D4390A.png,500x500,public/assets/i18n/zh-CN/the-gang/chips/round-3-orange-6.png,the-gang/chips/round-3-orange-6,locked-copied-needs-compression
红筹码 1 星,Round 4 / River,79,D:\gongzuo\webgame\gameasset\纸牌帮 The Gang\Mods\Images\httpssteamusercontentaakamaihdnetugc14249171099268012968D09489BB6FC18B479BCDB23EB303A256B3D3DD78.png,500x500,public/assets/i18n/zh-CN/the-gang/chips/round-4-red-1.png,the-gang/chips/round-4-red-1,locked-copied-needs-compression
红筹码 2 星,Round 4 / River,35,D:\gongzuo\webgame\gameasset\纸牌帮 The Gang\Mods\Images\httpssteamusercontentaakamaihdnetugc1146004705444848354465453AC420635F8DB562BA22C4BA129A9B48EF41.png,500x500,public/assets/i18n/zh-CN/the-gang/chips/round-4-red-2.png,the-gang/chips/round-4-red-2,locked-copied-needs-compression
红筹码 3 星,Round 4 / River,33,D:\gongzuo\webgame\gameasset\纸牌帮 The Gang\Mods\Images\httpssteamusercontentaakamaihdnetugc11269391835149698935297DDBCEB4AC0BC83022FD63475879C102F247B8.png,500x500,public/assets/i18n/zh-CN/the-gang/chips/round-4-red-3.png,the-gang/chips/round-4-red-3,locked-copied-needs-compression
红筹码 4 星,Round 4 / River,50,D:\gongzuo\webgame\gameasset\纸牌帮 The Gang\Mods\Images\httpssteamusercontentaakamaihdnetugc12264234665669209442DB0AAA200B6B1D4D1B590D85EA8BDE2B3DE59103.png,500x500,public/assets/i18n/zh-CN/the-gang/chips/round-4-red-4.png,the-gang/chips/round-4-red-4,locked-copied-needs-compression
红筹码 5 星,Round 4 / River,85,D:\gongzuo\webgame\gameasset\纸牌帮 The Gang\Mods\Images\httpssteamusercontentaakamaihdnetugc14529533356625751410F32EC7C11AE672965104DA87B93C1D0DAC68DC19.png,500x500,public/assets/i18n/zh-CN/the-gang/chips/round-4-red-5.png,the-gang/chips/round-4-red-5,locked-copied-needs-compression
红筹码 6 星,Round 4 / River,37,D:\gongzuo\webgame\gameasset\纸牌帮 The Gang\Mods\Images\httpssteamusercontentaakamaihdnetugc116317136597655832023587E63614FDE954AE00208C9BC8E9E665960963.png,500x500,public/assets/i18n/zh-CN/the-gang/chips/round-4-red-6.png,the-gang/chips/round-4-red-6,locked-copied-needs-compression
